jul,tmax,tmin,rhmax,rhmin,rs,u1
1,56.54,27.32,83.4,17.7,9.7230144,2.24011744
2,56.6,24.56,84,24.96,10.8385728,0.61199776
3,61.47,27.7,77.1,17.18,10.8807072,0.8963152
4,67.36,29.32,81.8,19.62,11.01012,2.00005696
5,69.39,24.81,93.6,17.68,10.9930656,0.67190112
6,61.2,38.29,73.2,30.26,9.6186816,5.04171712
7,60.83,33.82,85.6,39.94,7.0394544,1.78100736
8,62.99,35.82,90.5,45.93,6.8508528,0.54896512
9,64.44,35.76,93.9,21.81,11.2569072,1.68176448
10,64.5,27.76,91.7,26.91,11.13552,1.12251744
11,65.17,27.58,91.1,28.02,9.4009872,0.8404352
12,61.39,30.62,88,25.37,11.3692656,1.80961792
13,63.96,30.75,81.6,17.37,11.3993616,1.5378176
14,66.88,26.11,85.4,21.64,11.3150928,0.8784336
15,73.6,25.08,89.3,8.8,11.8046544,1.27898144
16,57.36,31.28,61.66,20.9,11.76252,2.72649696
17,58.44,23.69,72.8,20.59,11.3441856,1.028192
18,62.27,24.13,80.1,18,11.7294144,0.5900928
19,69.34,23.82,81.3,15.19,11.8548144,0.66921888
20,70.8,26.18,84.1,16.39,11.9551344,1.36034272
21,65.18,31.28,90.4,25.68,11.9511216,1.90349632
22,66.58,33.5,83.1,20.44,12.0845472,1.54139392
23,62.52,27.74,86.2,27.05,11.1184656,1.56106368
24,68.62,33.74,77.5,20.61,11.8337472,0.85965792
25,70.6,29.48,84,18.13,10.73424,0.80064864
26,65.48,33.5,74.4,20.67,12.4607472,0.67771264
27,67.6,26.53,79.3,14.48,12.6613872,0.72688704
28,73.1,24.55,83.5,8.1,13.1338944,1.50831296
29,70.3,28.21,72.2,13.91,12.6864672,0.56952896
30,71.5,27.79,80.6,11.27,12.9162,0.44972224
31,71,28.4,72.8,13.32,13.0335744,0.50157888
32,75.8,29.17,78.6,11.77,13.2964128,0.72733408
33,76.2,31.55,75,13.19,11.1937056,2.80025856
34,57.97,28.71,65.43,12.46,13.9023456,1.68042336
35,64.24,22.69,73,11.42,11.5498416,0.76935584
36,59.95,35.86,61.71,25.27,6.9852816,1.82437024
37,56.07,30.02,68.04,14.71,14.22036,1.8015712
38,47.59,31.77,75.1,38.5,11.2940256,4.56293728
39,42.19,32.86,95.6,71.4,4.0760016,2.1167344
40,53.89,29.26,97.6,26.19,13.99464,2.5950672
41,59.13,25.05,92.5,20.5,14.4631344,0.79975456
42,66.19,31.13,90.2,18.65,13.8903072,0.75415648
43,63.24,40.07,79.4,25.27,6.65,6.44
44,67.67,43.08,95.3,28.54,16.74,3.26
45,63.36,37.36,97.1,32.43,18.02,0.56
46,64.31,37.91,92.5,32.76,18.51,0.77
47,63.48,37.85,85,33.23,18.25,1.09
48,71.6,32.46,92.4,11.39,19.07,1.22
49,70.1,42.97,69.51,21.07,15.58,1.56
50,66.35,39.29,82.9,22.81,19.84,3.68
51,56.24,40.44,95,58.33,13.51,1.7
52,60.04,37.85,94.2,23.65,10.67,2.05
53,64.56,30.53,94.9,12.93,19.97,2.34
54,60.77,33.1,84.1,19.72,7.46,1.34
55,64.14,39.42,85.4,19.7,14.66,3.18
56,57.35,32.07,70.9,35.89,21.02,1.22
57,58.52,42.17,86,30.5,20.18,2.49
58,60.72,36.66,90,22.68,17.94,3.42
59,60.9,33.22,85.8,22.08,8.36,2.94
60,56.65,34.25,82.9,32.28,16.52,3.94
61,60.67,29.5,89.3,20.64,21.99,1.89
62,58.74,36.18,94.2,26.34,5.42,2.21
63,65.23,37.73,76.7,14.57,8.59,5.04
64,58.63,34.37,72.8,25.14,5.95,3.34
65,63.12,30.71,83,13.7,17.09,2.91
66,68.57,28.83,81.4,14.07,22.84,1.25
67,73.2,34.84,77.7,11.78,23.01,2.52
68,75.9,32.98,77.5,9.74,22.55,1.5
69,77.6,36.9,63.65,8.16,23.28,3.42
70,78.3,34.37,71.8,7.46,21.95,1.27
71,79.4,34.13,73.4,8.7,9.99,5.28
72,81,36.36,70.9,8.8,14.72,2.33
73,79.3,49.02,58.71,12.05,13.94,1.84
74,76,48.78,62.87,9.04,23.38,3.48
75,71.5,49.7,82.7,18.35,22.88,2.54
76,59.84,42.54,84.2,24.6,24.58,1.32
77,56,39.3,74.7,32.48,25.11,1.41
78,60.93,43.75,83.1,26.88,25.16,1.42
79,64.37,39.96,89.3,27.31,25.24,1.25
80,59.94,38.33,80.3,32.8,24.45,3.64
81,71.7,34.49,85.7,13.96,22.02,3.92
82,77.5,32.22,80.9,9.24,19.26,2.03
83,77,36.42,75.4,9.57,21.17,2.08
84,72.2,44.64,55.61,17.41,23.05,1.96
85,78.6,41.27,78.5,10.21,23.38,2.04
86,79.6,43.14,68.16,12.25,24.04,2.45
87,51.98,40.98,55.25,26.05,25.94,2.55
88,55.39,36.48,54.53,12.44,27.06,3.58
89,65.08,28.66,78.3,11.32,26.15,2.71
90,76.3,32.46,66.61,8.8,27.68,1.54
91,83.9,36.06,84.6,8.43,26.07,1.55
92,81.1,51.05,59.24,15.06,18.59,1.77
93,74.3,44.46,66.64,9.64,16.77,2.36
94,69.77,41.99,65.34,7.47,10.77,3.01
95,73.4,32.46,82,6.898,8.07,4.98
96,67.81,42.3,52.69,8.68,17.36,1.87
97,69.87,33.64,67.13,10.04,27.83,1.26
98,67.32,39.78,63.65,14.77,23.07,1.66
99,73.9,41.15,67.92,9.91,16.71,2.3
100,73.5,39.66,66.02,12.22,18.13,2.33
101,83.1,42.12,76.8,8.6,17.88,3.81
102,83.3,39.78,72.1,7.26,10.86,3.13
103,85.4,47.6,69.66,7.23,28.51,1.26
104,83.2,44.94,68.69,17.37,28.94,2.5
105,72.9,48.35,48.49,14.9,29.28,2.63
106,78.2,39.29,56.03,7.2,30,2.14
107,83.3,48.93,64.03,8.36,30,2.59
108,74.1,38.81,56.73,11.28,16.92,3.89
109,68.35,40.26,55.96,13.23,30.33,3.33
110,76,39.05,60.88,12.86,24.44,2.85
111,81.8,59.89,46.37,8.13,26.41,2.02
112,81.7,46.6,83.7,6.358,30.42,2.45
113,70.5,47.95,46.87,10.68,30.42,4.46
114,78,40.07,60.57,7.56,27.17,2.71
115,82.5,39.05,73.4,8.7,30.17,2.09
116,84,41.29,77.4,7.73,29.25,1.96
117,84.4,45.8,72.4,9.17,30.5,2.41
118,84.6,42.07,78.9,7.66,27.15,1.58
119,84.219,51.659,37.73,13.268,24,2.32
120,79.393,53.289,37.547,10.691,22.16,5.05
121,83.556,47.764,41.351,9.068,21.71,2.91
122,85.833,49.134,33.582,8.15,30.84,2.65
123,87.156,51.743,35.954,7.307,31.38,1.45
124,77.762,55.971,26.922,12.284,31.46,2.3
125,79.502,49.311,42.135,11.648,31.59,1.31
126,81.948,48.582,45.025,11.495,29.04,0.95
127,85,57.9,36.53,6.023,30.67,1.94
128,79.8,48.43,66.77,9.77,29.58,2.12
129,85.9,38.87,83,5.052,24.21,1.6
130,80.1,45.05,62.64,7.29,26.79,1.02
131,83.9,37.67,78.1,6.557,27.3,1.57
132,92.1,50.91,66.66,4.815,31.92,3.13
133,96.3,45.01,73.3,4.949,32.51,3.53
134,93.2,53.14,59.79,4.781,31.17,1.58
135,89.4,60.36,51.94,5.553,32.43,3.63
136,92.1,50.27,74.2,9.23,31.59,2.55
137,96.7,48.74,83.6,5.783,28.14,2.31
138,95.4,49.09,80.9,6.352,32.13,2.27
139,93.8,50.77,75,9.5,32.55,2.08
140,73.9,56.11,58.59,33.86,31.34,2.29
141,83.8,53.59,78.8,25.39,32.05,2.86
142,92.9,52.56,86.4,8.73,33.26,2.8
143,96.9,61.41,77.3,11.94,33.3,3.25
144,94,63.36,69.47,10.2,33.05,2.47
145,90.2,58.18,65.99,6.856,33.35,3
146,85.4,60.95,69.66,16.36,13.56,1.75
147,87.9,63.83,70.3,19.67,12.13,2.34
148,87.3,60.71,71.6,17.8,27.23,2.22
149,91.9,55.33,84.9,9.36,32.09,2.59
150,93.7,59.23,79.5,14.81,33.05,3.23
151,95.3,60.9,73.7,7.66,33.68,3.22
152,96.3,57.65,73.6,9.13,34.02,1.47
153,98.9,61.5,71.4,8.23,32.17,1.16
154,100.3,62.31,59.96,7.08,30.5,1.36
155,98.8,67.2,49.34,7.99,28.58,3.9
156,94.6,66.95,56.4,9.33,25.74,2.87
157,87.4,62.68,59.69,19.5,30.84,1.1
158,95.1,54.62,85.8,7.56,30.63,2.48
159,93.7,65.81,51.98,11.97,25.72,1.78
160,89.5,63.82,70.8,19.06,31.88,1.98
161,90.1,53.23,90.8,9.16,30.96,2.68
162,89.2,60.11,41.7,7.89,34.18,2.8
163,89.8,49.58,69.72,8.86,34.1,1.43
164,91,54.64,56.18,6.487,33.56,1.38
165,93.6,55.52,62.71,8.56,33.72,1.18
166,94.9,71.5,47.45,11.3,32.55,1.34
167,94.8,61.84,91.5,15.92,33.64,2.53
168,88.7,59.64,93.9,23.31,31.55,2.5
169,87.8,60.13,93.6,24.62,33.43,2.5
170,94.9,62.28,82.1,14.11,33.35,2.29
171,93.3,61.44,87.5,10.17,30.17,2.28
172,93.4,55.81,80.5,8.53,28.8,1.61
173,96,52.82,82,7.99,33.26,2.09
174,96.4,53.95,78.6,6.554,28.01,3.7
175,95.1,54.25,76.3,4.881,26.09,1.8
176,96.5,52.7,81.4,5.95,21.66,1.26
177,97.2,57.86,69.85,12.43,27.92,2.53
178,94.3,64.25,85.2,22.4,22.3,1.92
179,90.9,60.66,90.6,20.94,24.19,2.12
180,93.4,60.55,90.3,15.15,20.35,2.42
181,91,66.47,83.6,20.71,19.93,2.72
182,94.6,62.17,93.6,17.75,30.67,1.73
183,97.9,61.62,88.5,14.67,33.51,1.54
184,99.1,66.83,76.3,11,33.68,1.53
185,99.4,64.31,78.5,12.97,25.89,2.58
186,99.6,64.85,80.9,12.84,30.88,1.8
187,99.1,67.74,69.13,13.9,33.56,0.91
188,94.4,68.7,78.9,22.03,31.55,1.69
189,95.054,73.64,71.259,27.909,29.5,1.09
190,99.783,71.121,61.117,22.516,24.87,1.37
191,100.202,76.289,58.021,21.045,24.1,1.35
192,98.7,74.7,53.593,0,25.41,2.05
193,98.3,62.11,0,0,28.28,1.99
194,100.6,62.99,0,0,28.9,1.55
195,101.1,61.32,0,0,31.92,1.58
196,100.2,72.2,0,0,30.5,2.18
197,95.9,64.21,0,0,25.71,1.52
198,89.2,64.96,0,0,31.63,1.57
199,92,63.43,0,0,31.67,1.42
200,97,65.88,0,0,31.38,2.22
201,96,69,0,0,24.23,1.78
202,99.2,64.33,0,0,24.38,2.02
203,99.9,67.01,0,0,24.09,1.34
204,99.6,63.71,0,0,24.08,1.58
205,94.9,72.2,0,0,21,3.34
206,98,63.73,0,0,24.87,3.35
207,95.1,66.3,0,0,21.61,4.62
208,91.9,66.35,0,0,25.92,1.99
209,90.1,59.82,0,0,21.51,2.04
210,89.8,60.91,0,0,22.64,1.77
211,90.8,63.31,0,0,30.71,2.05
212,93,66.84,0,0,31.17,0.77
213,93.6,66.9,0,0,30.17,1.93
214,95.4,68.34,0,0,29.54,1.92
215,96.8,71.1,0,0,25.33,2.74
216,99.9,63.37,0,0,24.89,1.65
217,102.7,63.79,0,0,28.78,2.01
218,95,75,0,0,21.81,2.69
219,96.3,68.64,0,0,23.51,1.23
220,98.2,63.49,0,0,25.56,2.05
221,101.1,61.14,0,0,30.12,2.58
222,98.4,71,0,0,28.63,1.28
223,97.9,71.4,0,0,26.3,2.1
224,95.6,65.46,0,0,25.95,2.17
225,85.6,71.6,0,0,24.8,2.22
226,85.8,65.21,0,0,22.23,2.73
227,83.7,61.5,0,0,24.53,2.11
228,87.8,62.34,0,0,16.37,1.22
229,92.4,66.11,0,0,8.47,0.67
230,94.8,63.25,0,0,19.89,0.92
231,95.7,65.51,0,0,20.53,1.45
232,98.1,64.79,0,0,24.97,1.59
233,98.1,66.48,0,0,26.25,1.67
234,92.9,65.75,0,0,24.11,1.54
235,90.4,70.9,0,0,27.91,1.42
236,89.9,66.66,0,0,26.2,1.77
237,92.1,64.15,0,0,13.01,1.73
238,91,68.46,0,0,28.33,1.41
239,91.1,62.94,0,0,28.53,1.99
240,93.3,64.75,0,0,28.68,1.36
241,93,64.21,0,0,27.44,3.44
242,88.4,64.39,0,0,20.3,1.9
243,87.9,62.52,0,0,25.76,1.68
244,85.5,64.26,0,0,26.7,1.81
245,88.6,61.92,0,0,26.9,1.6
246,90.6,61.14,0,0,24.98,1.85
247,89.1,60.96,0,0,24.23,2.05
248,87.6,61.62,0,0,7.56,1.22
249,90.8,63.85,0,0,26.34,1.04
250,91.3,60.43,0,0,27.3,1.92
251,93.3,55.28,0,0,26.69,1.34
252,88.6,65.81,0,0,26.37,1.07
253,88.4,63.61,0,0,26.39,1.32
254,86.9,63.6,0,0,26.48,1.45
255,86.6,53.21,0,0,25.81,0.91
256,91.8,50.38,0,0,24.75,1.53
257,86.5,61.23,0,0,20.07,1.65
258,90.3,60.36,0,0,25.53,1.69
259,92.9,54.25,0,0,25.14,1.19
260,91.8,55.79,0,0,25.18,1.67
261,91.6,52.47,0,0,23.46,1.71
262,84.6,55.07,0,0,15.97,1.79
263,88.4,61.92,0,0,11.7,2.36
264,90.7,55.7,0,0,24.6,2.55
265,88.6,59.52,0,0,24.51,2.7
266,85,62.94,0,0,24.66,2.89
267,86.9,61.32,0,0,24.71,2.17
268,82.9,59.65,0,0,16.92,1.89
269,93,53.12,0,0,13.28,1.14
270,91.8,50.66,0,0,12.47,1.93
271,88.3,61.99,0,0,20.06,1.93
272,91.6,54.08,0,0,17.03,2.06
273,94.5,53.71,0,0,9.98,1.42
274,88.4,59.52,0,0,17.38,1.4
275,87,49.82,0,0,23.16,1.13
276,84.5,56.36,0,0,21,2.43
277,79.3,57.99,0,0,20.93,1.39
278,86.2,56.06,0,0,20.56,2.35
279,90.1,51.33,0,0,16.64,2.43
280,80.7,62.83,0,0,20.84,2.38
281,77.6,59.53,0,0,21.46,1.41
282,80.5,58.22,0,0,19.85,1.67
283,81.1,62.85,0,0,21.43,1.09
284,85.2,56.76,0,0,20.73,1.76
285,76.6,54.5,0,0,14.5,1.58
286,87.5,49.64,0,0,20.37,1.56
287,76,49.75,0,0,13.9,2.44
288,85.3,44.17,0,0,20.62,1.12
289,87.8,47.55,0,0,20.56,1.64
290,84.2,46.53,0,0,19.84,1.34
291,84.5,44.11,0,0,9.84,1.97
292,87.6,44.17,0,0,16.08,2.21
293,88.8,43.63,0,0,19.01,2
294,86.9,43.09,0,0,19.61,2.21
295,87.5,41.58,0,0,14.3,2.7
296,86.9,41.22,0,0,18.65,3.14
297,87.6,39.07,0,0,19.59,1.03
298,71.9,38.94,0,0,18.88,1.75
299,60.34,35.33,0,0,4.62,0.77
300,69.57,29.02,0,0,12.77,1.69
301,79.8,35.94,0,0,13.53,2.53
302,81.6,37.03,0,0,16.78,4.84
303,76.7,46.49,0,0,18.38,1.74
304,78.7,41.14,0,0,15.66,1.32
305,82,41.04,0,0,17.4,1.87
306,80.5,39.25,0,0,9.69,3.94
307,75.8,44.9,0,0,17.71,2.3
308,68.38,34.8,0,0,17.95,1.01
309,72.7,29.08,0,0,17.78,1.31
310,76,27.45,0,0,16.52,1.17
311,72,31.49,0,0,12.73,1.13
312,74.6,35.35,0,0,12.17,1.87
313,70.8,40.31,0,0,15.2,1.99
314,81.4,38.52,0,0,14.07,2.13
315,80.4,45.14,0,0,16.29,1.19
316,71.3,56.18,0,0,15.92,2.62
317,58.87,45.5,0,0,11.43,2.05
318,60.5,46.29,0,0,2.96,2.67
319,66.84,39.73,0,0,4.66,4.71
320,69.11,36.13,0,0,4.32,3.51
321,63.49,36.89,0,0,6.49296,0.2941666667
322,61.77,33.84,0,0,11.28492,0.1866666667
323,47.99,32.45,90.2,56.82,12.6126,0.1316666667
324,72.4,29.33,93.1,16.1,13.7826,0.1941666667
325,74.2,29.26,93.8,11.32,13.77756,0.4175
326,73.1,28.84,89.5,9.54,6.10092,0.4566666667
327,50.15,21.25,68.48,7.98,6.95556,0.3483333333
328,56.68,21,61.57,10.82,4.7916,0.6270833333
329,66.8,26.61,74.4,11.93,13.34592,0.3179166667
330,63.19,35.32,75.7,21.18,13.17492,0.1625
331,53.64,26.06,52.39,9.45,13.5936,0.63375
332,52.89,16.66,65.31,19.7,13.01724,0.7125
333,59.48,20.65,77.1,15.14,8.74224,1.445833333
334,71.1,25.53,73.4,11.11,8.0766,1.69375
335,71.6,29.73,59.79,12.22,13.17024,0.4791666667
336,66.78,32.69,74.2,22.51,12.52656,0.2716666667
337,66.11,29.49,74.4,16.11,13.10292,0.4875
338,68.74,27.62,65.03,11.15,12.77892,0.395
339,54.98,26.07,66.35,31.71,6.37092,0.3333333333
340,56.06,25.47,80.5,33.59,12.88692,0.7195833333
341,71.1,26.5,84.9,25.88,6.59556,0.805
342,65.17,30.59,83.7,30.72,11.90628,0.3170833333
343,53.74,23.9,71.8,18.1,10.0422,0.2716666667
344,58.79,19.68,70,14.31,12.45924,0.1783333333
345,63.54,21.55,73.3,23.68,12.3876,0.1095833333
346,51.43,26.53,80.7,35.76,12.37824,0.03166666667
347,56.56,24.81,83.9,20.48,12.38688,0.03958333333
348,64.79,20.34,81.7,20.3,12.09456,0.8204166667
349,55.34,28.65,52.69,6.537,12.1806,0.1320833333
350,48.74,18.83,54.04,16.09,12.2886,0.17875
351,54.81,16.96,53.84,10.99,8.23824,1.105833333
352,58.92,16.36,63.7,14.98,12.50028,0.1554166667
353,59.87,20.1,69.07,13.47,11.96424,0.2241666667
354,63.34,19.56,68.86,12.63,12.45888,0.1166666667
355,67.19,21.37,66.68,12.63,12.36024,0.1558333333
356,61.18,27.43,75,17.36,7.59456,0.51
357,55.71,21.9,83.1,26.8,12.22956,0.9516666667
358,57.69,23.91,73.1,24.74,9.51156,2.15
359,64.62,23,78.7,25.12,12.3966,0.6504166667
360,69.61,25.11,86.7,12.39,12.28824,0.20125
361,47.95,25.65,78.7,17.2,9.5886,0.2166666667
362,40.89,13.22,51.29,12.51,11.18556,0.18625
363,46.96,9.24,56.46,12.71,10.92924,0.2020833333
364,52.68,16.97,47.1,10.53,9.42192,0.33375
365,59.16,22.82,41.32,11.93,12.49056,0.4104166667